address,token_symbol,decimal
0x3431F91b3a388115F00C5Ba9FdB899851D005Fb5,GERO,18
0x29B5F207Ed7Ff7D8DA8a5b1FfaE30D8DC91Be46f,SHIZU,9
0x3e34eabF5858a126cb583107E643080cEE20cA64,LINQ,18
0xcB781689dE60d5C48037065a2cf5F837805fF133,SSB,18
0x0dE2FdAC925ECe64cC344Acd6508f71A79209D82,TUBE,18
0x8064d9Ae6cDf087b1bcd5BDf3531bD5d8C537a68,oBTC,18
0xB04cbA59F5f345026b7641DF740D7F7ECD362D7A,MT,18
0x3C38Fa94f77e8eEdee67D9Df756F00dc5d015907,50 45 50 45,9
0x18891fc0Ed41Cc8AD00607fEAE0F86b8c03f515b,SLP,18
0x848592388097D2A3CA9E285F445e5B92B6af52Ad,BabyTsuka,18
0xB9911AB699FD781efDA446e7FD995d375B437c8B,mooMonolithSOLID-ETH,18
0x232FB065D9d24c34708eeDbF03724f2e95ABE768,SHEESHA,18
0x5a9C8c6406d341A16aa3010108026f45fc372168,ZB,18
0xaa95f26e30001251fb905d264Aa7b00eE9dF6C18,Kendu,18
0x96B00208911d72eA9f10c3303fF319427A7884C9,BLUE,18
0x35406DFcF3234222ed1046B04C2E912B37d87258,dUSDC,6
0x99f5aCc8EC2Da2BC0771c32814EFF52b712de1E5,yCRV-f,18
0x30145421bc69ab86196788430007a00e66fdb2A3,iMATIC-WETH-28,18
0xEC836c229F4fA95ada56cA16582043DB8B8d52Ed,UNI-V2,18
0x37FC4b48CE93469dbEA9918468993C735049642a,CBX,18
0xB3419F1eF282253296e92df6F85e113360a391f2,BORG,18
0xF1A9e30FcF023145939D9C56e5c79440c99707b3,PIC,18
0xc3960227e41c3F54E9b399cE216149dEa5315c34,CZ,9
0x1C1C14A6B5074905Ce5d367B0A7E098b58EbFD47,FEX,8
0xE68c1d72340aEeFe5Be76eDa63AE2f4bc7514110,XDP2,18
0x41e76CBb5290eDAd9F101d1210f7f08013F732de,g1_WBTC,8
0x88E11412BB21d137C217fd8b73982Dc0ED3665d7,SIG-LP,18
0xeD761a603235b3Af7e8936875798D69d339a49B1,ESP,18
0x16AaB4738843FB2d9Eafc8fD261488797bF0df29,oWETHUSDC/USDC-29OCT21-2800P,8
0xBD7e92Cf6F857be8541FCa6abfB72aeF8e16c307,PRO,18
0xC5842df170b8C8D09EB851A8D5DB3dfa00669E3F,XEROAI,9
0x07F42E4AA370557b05603467a4e135D48f302047,TsukaBank,18
0xa84f95eb3DaBdc1bbD613709ef5F2fD42CE5bE8d,EAI,18
0x3f2D4708F75DE6Fb60B687fEd326697634774dEb,NEOBOT,18
0x009a8670E74E1dda3E449E93A9308e5977949967,HXB,18
0x900dB999074d9277c5DA2A43F252D74366230DA0,GIV,18
0x575252412aCdEEcEB7C08dB0Ee3CE75b33CAdBDb,LIL,18
0x78A6b10b10155F61676E30c1e8165b647C39c060,UNI-V2,18
0xd96D1b495778Fd207Bb699031865AE8ab182e000,MATCHA,18
0x94EC4e3a7c5068Ae4A035f702f2cd5a6Da9C5cC1,GEL,18
0x379eC11344929Da69DdFD805d564608089c97E55,DRF,18
0x64B986211c0CC675143F895C437b79c3cadf364A,GRPFT,8
0x859a9C0b44cb7066D956a958B0b82e54C9e44b4B,iETH,8
0xfAc0403a24229d7e2Edd994D50F5940624CBeac2,THEO,9
0x774fb37e50DB4BF53b7C08e6B71007bf1F1D9a47,TOAST,18
0x9619b0eaDD70d643Cb2BBE6d5752B15C16fbf2d2,BITCOIN2,18
0x759445DED88F2Eb44D27E079025597Af741E5301,NGMI,9
0x159cDAF78bE31E730d9E1330adFcfBb79a5fdb95,MTE,18
0x857dE36f92330E1B9a21e8745c692F2CE13866cb,MEMAGX,18
0xDdfFdcD816771278635A62cde6b4d274F6e59F36,2PAW,18
0x412e5a36BDE71AA2c38e1c0E26BAAf7F2f0Bc24a,PUSD,18
0xaFe53EEa0cfE20198328890B69107D5Fd8159A77,X ,9
0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,ETHx,18
0x320623b8E4fF03373931769A31Fc52A4E78B5d70,RSR,18
0x0e7307b4B45203649D33bdfe8f744D4D8E3C5FcF,AFS,18
0x0883B663d61bF12Ac9b5b6a06D9cD04933856079,Dino,18
0xB98d4C97425d9908E66E53A6fDf673ACcA0BE986,ABT,18
0x6B0956258fF7bd7645aa35369B55B61b8e6d6140,LUCKY,8
0xeD1840223484483C0cb050E6fC344d1eBF0778a9,bendWETH,18
0x1966fE1223Da86aE3DA2c6f016b789756Acee58e,Palad,9
0x92C5F1cdA070e364e5e13fE00231539Dd90bC33b,pAPE,18
0x9915dfb872778B2890a117DA1F35F335eb06B54f,stableDebtKNC,18
0xDd1fE5AD401D4777cE89959b7fa587e569Bf125D,auraB-rETH-STABLE-vault,18
0xFBc74f4CFf1CF833997DD4d0A57a75687DadF7d6,sweETH,18
0xAf05Ce8A2Cef336006E933c02fc89887F5B3C726,LMI,18
0x621d1C61843c43cA8D84E6480338df1DB3e068A7,CHERRYPYE,18
0xba100000625a3754423978a60c9317c58a424e3D,BAL,18
0x8eD00833BE7342608FaFDbF776a696afbFEaAe96,GHOUSDe-gauge,18
0x27d15446176B469eE7fBDec1e5a4b506Fd77c0cD,zenLINK,8
0x4B4F5286e0f93E965292B922B9Cd1677512F1222,YUNO,18
0xD01ef7C0A5d8c432fc2d1a85c66cF2327362E5C6,aETHb,18
0x072A8F8d131dE8B1Be850E6c9E853bD17492954f,UPeth,18
0x2024476F6b83FC8CF59bfA9C91d41B0d336682C6,MAGA2024,9
0x87869A9789291A6cEC99f3c3Ef2fF71fcEb12a8e,CMOS,9
0x7316cb1F7Ca817f657aD6976503bC3CF593D35E3,SMAUG,18
0x44971ABF0251958492FeE97dA3e5C5adA88B9185,basedAI,18
0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7,SUKU,18
0x11D200ef1409cecA8D6d23e6496550f707772F11,cvxcrvPlain3andSUSD,18
0xF0dC76C22139ab22618dDFb498BE1283254612B1,WSTR,18
0x7D48FBe0A877bB1f511fcf9B57F12420C75841e9,DOOR,18
0x5fBa865D993e64DeB46cfA72dc28F8f64ad2476A,1st,8
0x84bA4aEcfDe39D69686a841BAb434C32d179a169,MTHD,18
0xB65dF73fC4F6591ebe00494A4bd47ed339a81210,AMT,18
0x221BF20c2Ad9e5d7eC8a9d1991d8E2EdcfCb9d6c,BPT,18
0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,aUSDT,6
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,Ͼ,0
0x7061ee0896Ab2c1865078B6c91731f67A89eA6A4,NOS,18
0xE22EACaC57A1ADFa38dCA1100EF17654E91EFd35,PLP,18
0xAAc88E48767988119b84dea3fc93ceEc012F3530,BxB,18
0xd8E81Ea149e7a9080F13130e2a70160Ae0A018E9,UNI-V2,18
0xe257CDa20ec3892a8CbB1D19417BEC0613927337,5DRAGONS,18
0x1FCdcE58959f536621d76f5b7FfB955baa5A672F,FOR,18
0x7D225c4cc612E61d26523B099b0718d03152eDEf,FORK,18
0xa2Ce7B696632615344e003bC111ba1744844A99F,ACO ETH-350USDC-P-09OCT20-0800UTC,18
